id,name,description,effect,requirement,type,weapon_type,buy_price,sell_price,market_value,circulation,image,tradeable
132,Mystical Sphere,A rare object created by Phyrax when he was a helper... Only possessed by a select few in all of Torn City. Every now and then lights and mist shoot out of the sphere and at this time the holder may obtain all knowledge and wisdom.,,,Collectible,,0,0,0,19,https://www.torn.com/images/items/132/large.png,TRUE
133,10 Ton Pacifier,Used for that special baby out there.. the one you would like to crush because you just cant get them to stop crying. Drive this pacifier in their mouth and you will get dead silence. Created by Rock for all the babies out there.,,,Collectible,,0,0,0,20,https://www.torn.com/images/items/133/large.png,TRUE
134,Horse Toy,"First seen by those who crossed the Godfather, this strange object greatly increases your desire to annoy people in the chat rooms, while simultaneously draining away all your religious beliefs.",,,Collectible,,0,0,0,16,https://www.torn.com/images/items/134/large.png,TRUE
135,Uriel's Speakers,These tripped out speakers will blow you away with thundering bass and a beat that won't quit. Putting out 5000W with a crushing 600 decibels.,,,Collectible,,0,0,0,20,https://www.torn.com/images/items/135/large.png,TRUE
136,Strife Clown,This Ominous Clown is full of discord. This rare item channels all the pain and torture this world has to offer.,,,Collectible,,0,0,0,17,https://www.torn.com/images/items/136/large.png,TRUE
137,Locked Teddy,"This bear is covered in chains connected with padlocks. He has been seen locking forum topics around Torn City, but has yet to have any of his locks picked.",,,Collectible,,0,0,0,21,https://www.torn.com/images/items/137/large.png,TRUE
138,Riddle's Bat,This baseball bat belongs to Riddle. All know it and most fear it. It causes panic in the IRC realm. Random kicks occur when he is in a bad mood or when mass slapping occurs. Don't mess with the bat!,,,Collectible,,0,0,0,20,https://www.torn.com/images/items/138/large.png,TRUE
139,Soup Nazi Doll,"Often seen running loose on IRC, usually before kicking rule breakers with the message No Soup For You!! Believed to have been released by Lestat.",,,Collectible,,0,0,0,19,https://www.torn.com/images/items/139/large.png,TRUE
140,Pouncer Doll,"Be careful of Pouncer. She might pounce on you unexpectedly, or hit you with a pillow or ducks, just like her creator SexySassy.",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/140/large.png,TRUE
141,Spammer Doll,"A very friendly doll with good interactions, until you make it mad. It can hit back pretty hard, and it will start spamming you, even when you think it should be sleeping, just like Templar.",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/141/large.png,TRUE
142,Cookie Jar,"Cookie Jar - Just like the one Is0lati0n has at home, this jar is stocked full of chocolate cookies for late nights working in the IRC channel.",,,Collectible,,0,0,0,35,https://www.torn.com/images/items/142/large.png,TRUE
143,Vanity Mirror,Complete with 24 carat gold rim and handle with YT's initials engraved on it.,,,Collectible,,0,0,0,21,https://www.torn.com/images/items/143/large.png,TRUE
144,Banana Phone,"Bright yellow, shaped like a banana, and plays Titan's favourite song when it rings. Known to annoy other staff members... may be part of the reason he loves it.",,,Collectible,,0,0,0,19,https://www.torn.com/images/items/144/large.png,TRUE
145,Xbox 360,A games console used for playing games.,Converts 5 energy into 8-15 happiness.,,Special,,0,500,0,0,https://www.torn.com/images/items/145/large.png,TRUE
146,Yasukuni Sword,A rare Japanese blade of exceptional quality and craftsmanship.,,,Melee,Slashing,0,0,97607,48482,https://www.torn.com/images/items/146/large.png,TRUE
147,Rusty Sword,An old rusty sword.,,,Melee,Slashing,0,40,2463,114530,https://www.torn.com/images/items/147/large.png,TRUE
148,Dance Toy,Although its name refers to Syrup it's nothing near slow. Just press the button on the back and watch this crazy toy dance himself to death!,,,Collectible,,0,0,0,20,https://www.torn.com/images/items/148/large.png,TRUE
149,Lucky Dime,"Found deep within a lost cavern in Torn City was a rare bag of dimes that were stolen during the first bank robbery in Torn City. They were thought to have been lost forever, but a few have survived and are said to bring luck to those who play roulette in the Casino.",,,Collectible,,0,0,0,31,https://www.torn.com/images/items/149/large.png,TRUE
150,Crystal Carousel,Created by w1ld_h0rs3s this replica Carousel shows her favourite horses running wild and free.,,,Collectible,,0,0,0,20,https://www.torn.com/images/items/150/large.png,TRUE
151,Pixie Sticks,"Small plastic tubes filled with flavoured sugar. Available in orange, raspberry, grape and strawberry. Provides a large happiness increase when consumed.",Increases happiness by 150 and booster cooldown by 30 minutes.,,Candy,,0,50,300481,463095,https://www.torn.com/images/items/151/large.png,TRUE
152,Ice Sculpture,"Some believe that the reclusive artist who carved these sculptures meant them to depict friendliness and good will. However, some who gaze on these rare pieces feel an icy coldness and a sinking detachment from the world. Only the artist knows his true intent.",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/152/large.png,TRUE
153,Case of Whiskey,Recovered during a raid at his Mansion this is the last case of Whiskey that mdshare produced before being captured by Torn City Police for violation of the alcohol ordinance.,,,Collectible,,0,0,0,20,https://www.torn.com/images/items/153/large.png,TRUE
154,Laptop,A high-tech wireless laptop. You can use it on your long travels to check your mail and see how things are going at home.,Can be used to access additional services while traveling and program viruses.,,Tool,,0,400,426,1828257,https://www.torn.com/images/items/154/large.png,TRUE
155,Purple Frog,"A very rare species of frog that lives in Torn City. Sometimes seen on IRC hopping into people's pockets. Usually friendly, but can become extremely violent if provoked.",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/155/large.png,TRUE
156,Hooorang's Key,Hooorang's skeleton key lets you bypass any locked doors and open lockers and safes. Nothing can stop its holder. Holding this item makes you feel invincible.,,,Collectible,,0,0,0,23,https://www.torn.com/images/items/156/large.png,TRUE
157,Patriot Whip,"UTBracket's own design, comes in either Union Jack or St. George style. Don't mess with the owner of this collectible or expect to have your day ruined by some painful marks on your butt and the ability to sit down removed!!",,,Collectible,,0,0,0,15,https://www.torn.com/images/items/157/large.png,TRUE
158,Statue Of Aeolus,Aeolus Keeper of The Wind possess the power to control the strength and direction of the wind. A Greek Mystical Artifact with powers believed to be related to the wind.,,,Collectible,,0,0,0,20,https://www.torn.com/images/items/158/large.png,TRUE
159,Bolt Cutters,"A pair of quality bolt cutters. Made of tempered steel with cushion-grip handles and durable, heat-treated jaws.",Required by the Car Thief role during the No Reserve scenario.,,Tool,,25,15,452,3356115,https://www.torn.com/images/items/159/large.png,TRUE
160,Photographs,Four photographs of a man handing over a briefcase.,,,Other,,0,0,16300000,8425,https://www.torn.com/images/items/160/large.png,TRUE
161,Black Unicorn,A friend for life and a ferocious fighter feared by all foes.,,,Collectible,,0,0,0,20,https://www.torn.com/images/items/161/large.png,TRUE
162,WarPaint Kit,"The perfect accessory when going off to war. Fashioned after Scarlet's own personal kit, containing facial paints made of wolf's blood. Once applied, the user is said to gain the prowess of the wolf.",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/162/large.png,TRUE
163,Official Ninja Kit,"The Official Hiro Ninja Kit is a custom fit accessory set for any wannabe ninja. Contains: ninja suit for those stealthy attacks, grappling hook for those difficult larcenies, ninja guide book as penned by Hiro himself. Warning - not for novices.",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/163/large.png,TRUE
164,Leukaemia Teddy Bear,"Soft and fluffy, it likes to be cuddled and can comfort you on those lonely nights. But beware: mistreatment of your Leukaemia Teddy Bear will result in a mighty slap from its paws of steel.",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/164/large.png,TRUE
165,Chocobo Flute, Long thought to be lost forever this small item was found in the far reaches of Torn City by CloudFFVII. Many believe peace of mind and swiftness in battle are brought to the holder of this charm.,,,Collectible,,0,0,0,20,https://www.torn.com/images/items/165/large.png,TRUE
166,Annoying Man,This little annoying man can be seen on IRC and on MSN annoying people and getting into trouble just like Manjot.,,,Collectible,,0,0,0,20,https://www.torn.com/images/items/166/large.png,TRUE
167,Article on Crime,An article written by the reporter George on specific criminals.,,,Other,,0,0,0,2509,https://www.torn.com/images/items/167/large.png,TRUE
168,Unknown,This item does not exist.,,,Unused,,0,0,0,7,https://www.torn.com/images/items/168/large.png,TRUE
169,Barbie Doll,"Equipped with Kung Fu Grip, and hot pink nail polish, this doll resembles the Admin Clansdancer.",,,Collectible,,0,0,0,31,https://www.torn.com/images/items/169/large.png,TRUE
170,Wand of Destruction,"A very rare special weapon, this wand was created by The Great Pumpkin himself to wreak havoc on Torn City.",,,Melee,Piercing,0,0,0,7,https://www.torn.com/images/items/170/large.png,TRUE
171,Jack-O-Lantern '05,"Given out by The Great Pumpkin, to good boys and girls all across Torn City.",,,Collectible,,0,0,0,368,https://www.torn.com/images/items/171/large.png,TRUE
172,Gasoline,"Capable of storing five gallons of pure liquid warehouse repellent, this rusty red can makes it easy to transport gasoline across the city to your destination of choice. It burns hotter and spreads faster than other liquids, but it stinks to high heaven and leaves its fingerprints everywhere. If you're an arsonist, that destination could be a church, a brothel, or something weird like a yurt. If you're Toxic Terry, that gas is going on a straight shot to your digestive tract.","Dangerously fuels a fire with high suspicion in Arson.
Used during the burning method in Disposal.
Used by the Arsonist role during the Market Forces scenario.",,Material,,95,70,654,36533056,https://www.torn.com/images/items/172/large.png,TRUE
173,Butterfly Knife,"A small knife, deadly in the right hands. The handles fold up to conceal the blade of this dangerous weapon.",,,Melee,Piercing,1750,1200,919,497059,https://www.torn.com/images/items/173/large.png,TRUE
174,XM8 Rifle,"Lightweight assault rifle, deadly when fired up close. Can break through the toughest armor.",,,Primary,Rifle,12500,9000,8165,395448,https://www.torn.com/images/items/174/large.png,TRUE
175,Taser,"An electroshock gun, non lethal, but will land your opponent in the hospital for a while just as quickly as a more aggressive weapon will.","Opponent becomes Shocked, causing them to miss the next turn.",,Secondary,Mechanical,5500,4250,3435,535431,https://www.torn.com/images/items/175/large.png,TRUE
176,Chain Mail,"Chain Mail consists of a series of individual metal rings linked together to form a mesh, resulting in a flexible yet resilient barrier capable of protecting the wearer during hand-to-hand combat. This form of armor was most commonly used by European warriors between 300 BC - 1600 AD, but today is mostly worn by overweight war reenactors who like to play dress-up on the weekends.",,,Defensive,,4000,3100,3274,122484,https://www.torn.com/images/items/176/large.png,TRUE
177,Cobra Derringer,"A small, lightweight pistol. For some people two bullets are all you need.",,,Secondary,Pistol,70000,55000,54013,141266,https://www.torn.com/images/items/177/large.png,TRUE
